Date,Category,Product,START_OF_DAY_WHOLE,MADE_TODAY_WHOLE,AVAILABLE_TO_SELL_WHOLE,OUT_THE_DOOR_WHOLE,ORDERS_TODAY_WHOLE,REMOVED_AS_DAY_OLD_WHOLE,LEFT_WHOLE,START_OF_DAY_HALF,MADE_TODAY_HALF,AVAILABLE_TO_SELL_HALF,OUT_THE_DOOR_HALF,ORDERS_TODAY_HALF,REMOVED_AS_DAY_OLD_HALF,LEFT_HALF
2020-07-01,BREAD,H,16,26,42,34,0,4,4,0,0,0,0,0,0,0
2020-07-01,BREAD,FR,12,20,32,24,0,0,8,0,0,0,0,0,0,0
2020-07-01,BREAD,GW,3,9,12,8,0,0,4,0,0,0,0,0,0,0
2020-07-01,BREAD,DK,10,22,32,15,0,2,15,0,0,0,0,0,0,0
2020-07-01,BREAD,H5|Cran,11,0,11,3,0,0,8,6,0,6,4,0,0,2
2020-07-01,BREAD,CSRWL,3,20,23,23,0,0,0,2,2,4,4,0,0,0
2020-07-01,BREAD,rwb,10,0,10,8,0,2,0,0,0,0,-1,0,0,0
2020-07-01,BREAD,CNE,0,22,22,12,1,0,9,0,3,3,3,0,0,0
2020-07-01,BREAD,CNR,0,10,10,8,0,0,2,0,0,0,0,0,0,0
2020-07-01,BREAD,CNW,0,10,10,8,0,0,2,0,0,0,0,0,0,0
2020-07-01,BREAD,CG,0,11,11,6,0,0,5,0,4,4,1,0,0,3
2020-07-01,BREAD,Pesto CG,0,6,6,5,0,0,1,0,0,0,0,0,0,0
2020-07-01,BREAD,VS,14,0,14,9,0,5,0,0,0,0,0,0,0,0
2020-07-01,BREAD,SOURDOUGH,0,16,16,14,0,0,2,0,0,0,0,0,0,0
2020-07-01,BREAD,RG,0,8,8,6,0,0,2,0,0,0,0,0,0,0
2020-07-01,BREAD,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,BREAD,GW BUNS,2,4,6,3,2,0,1,0,0,0,0,0,0,0
2020-07-01,BREAD,H-RLS,0,6,6,0,2,0,4,0,0,0,0,0,0,0
2020-07-01,BREAD,FR-RLS,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2020-07-01,BREAD,VS-RLS,0,0,0,-1,0,1,0,0,0,0,0,0,0,0
2020-07-01,BREAD,Blue Stru,1,8,9,6,0,0,3,0,0,0,0,0,0,0
2020-07-01,BREAD,Choc Carm,1,8,9,3,0,0,6,0,0,0,0,0,0,0
2020-07-01,BREAD,Banana,0,5,5,1,0,0,4,0,0,0,0,0,0,0
2020-07-01,BREAD,Ban Choc,1,4,5,2,0,0,3,0,0,0,0,0,0,0
2020-07-01,ROLLS,Cinnamon,0,84,84,80,0,4,0,0,0,0,0,0,0,0
2020-07-01,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,Blueberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,Turtle,0,16,16,15,1,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,SCONES,RWB,0,34,34,26,5,3,0,0,0,0,0,0,0,0
2020-07-01,FRUIT BARS,Mixed Berry,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2020-07-01,FRUIT BARS,Cherry,0,12,12,7,0,5,0,0,0,0,0,0,0,0
2020-07-01,FRUIT BARS,Apple Cin,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,FRUIT BARS,straw blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Blue Stru,0,10,10,7,0,3,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Choc Carm,0,10,10,6,0,4,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,banana,0,8,8,0,0,8,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,ban Choc,0,8,8,4,0,4,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,oatmeal choc,2,36,38,19,4,2,13,0,0,0,0,0,0,0
2020-07-01,MUFFINS,triple choc,2,36,38,26,4,0,8,0,0,0,0,0,0,0
2020-07-01,MUFFINS,snickerdoodle,4,36,40,28,3,1,8,0,0,0,0,0,0,0
2020-07-01,MUFFINS,frosted sugar,14,24,38,14,0,7,17,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Cashew Crunch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,brownie,0,20,20,12,0,0,8,0,0,0,0,0,0,0
2020-07-01,MUFFINS,lemon,0,20,20,12,0,0,8,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,MUFFINS,Totals,22,362,384,264,17,41,62,0,0,0,0,0,0,0
2020-07-02,BREAD,H,4,34,38,8,0,0,30,0,0,0,0,0,0,0
2020-07-02,BREAD,FR,8,23,31,19,0,0,12,0,0,0,0,0,0,0
2020-07-02,BREAD,GW,4,3,7,3,0,1,3,0,0,0,0,0,0,0
2020-07-02,BREAD,DK,15,0,15,15,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,H5|Cran,8,20,28,2,0,0,26,2,10,12,2,0,0,10
2020-07-02,BREAD,CSRWL,0,20,20,17,0,0,3,0,3,3,0,0,0,3
2020-07-02,BREAD,rwb,0,20,20,9,0,0,11,0,4,4,4,0,0,0
2020-07-02,BREAD,CNE,9,0,9,9,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,CNR,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,CNW,2,0,2,1,0,1,0,0,0,0,0,0,0,0
2020-07-02,BREAD,CG,5,0,5,3,0,2,0,3,0,3,0,0,0,0
2020-07-02,BREAD,Pesto cg,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,VS,0,10,10,6,0,0,4,0,3,3,3,0,0,0
2020-07-02,BREAD,SOURDOUGH,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,RG,2,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,IHF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,vs buns,0,2,2,0,0,0,2,0,0,0,0,0,0,0
2020-07-02,BREAD,GW BUNS,1,2,3,0,0,1,2,0,0,0,0,0,0,0
2020-07-02,BREAD,H-RLS,4,0,4,-2,0,4,2,0,0,0,0,0,0,0
2020-07-02,BREAD,FR-RLS,0,2,2,2,0,0,0,0,0,0,0,0,0,0
2020-07-02,BREAD,VS-RLS,0,5,5,0,0,0,5,0,0,0,0,0,0,0
2020-07-02,BREAD,Blue Stru,3,3,6,-1,0,4,3,0,0,0,0,0,0,0
2020-07-02,BREAD,Choc Carm,6,0,6,2,0,4,0,0,0,0,0,0,0,0
2020-07-02,BREAD,Banana,4,0,4,3,0,1,0,0,0,0,0,0,0,0
2020-07-02,BREAD,Ban Choc,3,0,3,1,0,2,0,0,0,0,0,0,0,0
2020-07-02,ROLLS,Cinnamon,0,48,48,48,0,0,0,0,0,0,0,0,0,0
2020-07-02,ROLLS,Mini C-Roll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,Blueberry,0,13,13,13,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,Rasp Cream,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,Butt Almond,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,Turtle,0,10,10,10,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,Cin Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,SCONES,RWB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,FRUIT BARS,Mixed Berry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,FRUIT BARS,Cherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,FRUIT BARS,Apple Cin,0,12,12,11,0,1,0,0,0,0,0,0,0,0
2020-07-02,FRUIT BARS,straw blue,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Blue Stru,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Choc Carm,0,5,5,2,0,3,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,banana,0,3,3,3,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,ban Choc,0,8,8,8,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Cookies,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,oatmeal choc,13,24,37,18,19,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,triple choc,8,48,56,19,37,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,snickerdoodle,8,36,44,17,27,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,frosted sugar,17,0,17,13,0,0,4,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Cashew Crunch,0,6,6,6,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,brownie,8,0,8,6,0,2,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Lemon,8,4,12,8,0,0,4,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Bread Pudding,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-02,MUFFINS,Totals,62,230,292,192,83,9,8,0,0,0,0,0,0,0
2020-07-03,BREAD,H,30,12,42,33,0,0,9,0,0,0,0,0,0,0
